,DHd 2016,DHd 2017,DHd 2018,DHd 2019,DHd 2020,DHd 2022,DHd 2023,Mean
Korpusexploration,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
onboarding,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Designing,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
drama,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Digital Literacy,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Software-Entwicklung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
disinformation,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Open Schiences,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Sprachsynthese,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Journal,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Werkbeziehungen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Repräsentation,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Review,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
data feminism,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Körperbild,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Benutzeroberfläche,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Roman,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Bodypositivity,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Showing,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Telling,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Registry,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
multilingualism,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Transferlernen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Beschreibung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Editorik,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
deutschsprachige Literatur,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Bildklassifikation,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Programming,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
professionalisierung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
softwareentwicklung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
research software engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Fitspiration,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Diplomatie,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
video analytics,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Wissenssoziologische Diskursanalyse,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Stylistic Analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Analysing,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Kartierung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Graphesis,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
NFDI4Culture,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
NSRL,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Friedrich Kittler,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Born-Digitals,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
VIAF,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
ELTeC,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Mehrsprachigkeit,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Digitalisierung Flurnamenarchiv,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Thüringisches Flurnamenportal,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Flurnamenforschung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Frühromantik,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Nachlasserschließung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Sozialtopographie,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Sozialgeschichte,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Multimodale Korpuslinguistik,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Listen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Randnotizen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Ferdinand Tönnies,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Interviewtranskripte,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Hilfestellung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Service,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Kriegsspiel,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Content Analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Diplomatik,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Häufigkeit,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
openai,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Dall-e 2,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
aiart,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Kunstkritik,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Musikgeschichte,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
N-Gram,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Mehrworteinheiten,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Presse,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Corona,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Korpustool,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Zeitverlauf,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Culturomics,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Citizen Humanities,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Korpusbildung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Diversität,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Digitales Werkverzeichnis,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Dimensionsreduktion,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Vossianische Antonomasie,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
processing,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
normalisation,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
computational edition,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Deutsche Korpora,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Writing,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Google Ngram-Viewer,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Research Process,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Algorithmenkritik,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Meta: CommunityBuilding,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Meta: Lehren/Lernen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Fanfiction,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Kulturelle Objekte,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Fallstudien,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Digitale Quellenkritik,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Open Publication,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Theorie der DH,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
forschungsdatenmanagegement,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
automatische Annotationen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
knowledge graphs,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
datenintegration,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
infrastruktur,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Arzneimittelrezepte,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Öffnung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Supportstrukturen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
WDA,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
DWTS,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
computational methods,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
stand-off annotations,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Media Sentiment,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Deutscher Schriftstellerverband,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Zero-Shot Klassifikation,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Musiknotation,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Human Computer Interaction,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Wissensgraphen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Briefanalyse,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Literarische Blogs,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Aufbereitung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
WARC,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
DDR,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
plain text,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Digital Scholarly Edition,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
History,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
virtuelles Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Skandal,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
kulturelle Bildung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Kategoriensystem,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Formale Methoden,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Beschreibungslogik,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Provenienz,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
D-WISE Tool Suite,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Sentence-Transformer,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
digitale Philosophie,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Digitale Provenienzforschung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Provenienzangaben,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Datenstandards,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Online-Sammlungen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
scalable reading,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
ausführbarer Quellcode,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Lücken,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Jupyter-Notebooks,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
digitale Philosophiegeschichte,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Analytische Philosophie,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Digital Social Reading,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Aesthetic Properties,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Indian readers,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Scheitern,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Green DH,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
historical newspapers,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
citizen participation,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Data Management,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Handlung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
historical data,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Poetik,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Barock,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Kontinentale Philosophie,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
D-WISE,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Multimodal Discourse Analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
kollaboratives Annotieren,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Wissenschaftsinfrastruktur,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Research Infrastructure,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Open-Access-Transformation,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Workshop,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Osteuropa,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Blender,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
3D-Methoden,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Protestkulturen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Konfession,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
4D-Methoden,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
FAIR data,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
linked data,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
graph database,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Börse,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Fehlerkultur,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Computational Thinking,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Volltexte,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Forschungsinstrument,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
ComDeG,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Wissensbasis,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Bibliographische Datensammlungen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Bildungsmedien,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Pyramiden-Methode,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Ereignishaftigkeit,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
ruge,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
bleu,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Digitalisate,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Ereignis,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Editionswissenschaft,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
n-gram,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Digitale Editionswissenschaft,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Nachschlagewerk,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Zotero,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Wissensressource,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
pyramid,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
pyramide,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Event,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Publikationsumgebung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Open Archives,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Pyramiden Methode,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Postkolonialismus,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
authorship classification,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
ortsverteilt,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
evaluation,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Datendomäne Sammlungen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Embeddings,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Public Humanities,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Kodierung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Sprachtechnologie,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Komposita,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Muster,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Begriffsarbeit,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Korpusaufbereitung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Anonymisierung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
open-source software,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
generous interface,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Historische Reiseberichte,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
digitales museum,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Archive,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Publikationsplattform,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Data Feminism,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Weißbuch,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
derived text formats,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Partizipative Forschung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Datenfeminismus,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Leser:innenforschung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Provenienzforschung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Literaturrezeption,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Korpuskritik,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Intersektionalität,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Kolonialismus,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Gender Data Gap,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Data augmentation,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Imperialismus,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
INCEpTION,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Naturkundemuseum,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Digital,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
FAIRe Lehre,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
OER,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Open Cultural Heritage Data,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Openness,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Framesemantik,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Personen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
sensible Sammlungen,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Wissensgraph,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Datenintegration,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Semi-Automatisierung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Textauszüge,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Interdisziplinär,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Erzählwürdigkeit,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Architekturforschung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Zusammenfassung,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Algorithmus,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Akteursnetzwerk,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Graphentechnologie,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Events,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Vernetzungsplattform,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
Experimente,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
lebende Systeme,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.11
visuelle Medien,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
best-practices,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Narrative,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
8-Bit,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Co-Design,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Online Publishing,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Ikoniziät,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Kontextualisierung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Online-Beratung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Entwicklung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
KNN,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
historische Drucke,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Figurenrede,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Deutsches Zeitungsportal,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Sammlungsdatenmanagement,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Postmodern Poetry,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
quantitative Analyse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Computerspiele,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Translation,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
literaturgeschichte,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Digital Heritage,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Punctuation Reconstruction,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Lab,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Deutsche Digitale Bibliothek,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Werkstatt,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Wissensvermittlung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Rezensionen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Erfolgsfaktoren,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Schnittstelle,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Softwarekuration,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Stochastische Musik,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Aleatorik,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Theo Lutz,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
GerDraCor,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Wilhelm Fucks,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Wissenschaftsgeschichte der DH,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Figurenverzeichnis,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Karl Kraus,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Mittelniederdeutsch,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Figurenbeziehungen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Grammatikographie,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Flexionsmorphologie,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Varianz,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Unsicherheit,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
unvollständige Daten,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
sozio-historische Netzwerkanalyse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
statistische Inferenz,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Reformation,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Briefkorrespondenznetzwerk,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Computerliteratur,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
digitale Methoden,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Verschlagwortung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Typographie,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Facettensuche,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
KunsthistorikerInnen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
wissenschaftliche Forschungspraktiken,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Topics-Anzahl,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Webarchive,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Event Crawl,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Wahlkampf,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
reflektiert,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Erzählebenen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Wertherness,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
CRETA,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Trinkglas,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Die gute Form,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Fraktur,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Schriftgeschichte,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Management,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
kanon,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Lernen und Lehren,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Buchwissenschaft,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Named Entity Erkennung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Metadatenanalyse,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Intermediation,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Factoid-Modell,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Bildähnlichkeitssuche,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Digitalisiererung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Theaterwissenschaft,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Schattentheater,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Kontextualisat,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Kultur,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Materialität,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Aura,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Unity Engine,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Chronologie,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Datierung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Faust,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Graphen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
